Title,DOI,Sample Name,Main Transition Metal Type,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Electronic Afiinity,Number of d electrons,Covalent Radius,Second Transition Metal Type,Carbon Material Type,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Second Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),O Content (wt. %),C Content (wt. %),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (～C),Pyrolysis Time (h),Rising Rate (～C min-1),Product,Electrolyte,Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane,Nafion Membrane Thickness (米m),Electrode Substrate Type,Carbon Paper/Glassy Carbon,Electrode Area cm2,lsv speed (mV/s),Electrolyte pH,FE of Product (CO) at -0.2V (vs.RHE),FE of Product (CO) at -0.3V (vs.RHE),FE of Product (CO) at -0.4V (vs.RHE),FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),FE of Product (CO) at -1V (vs.RHE),FE of Product (CO) at -1.1V (vs.RHE),FE of Product (CO) at -1.2V (vs.RHE),Partial Current Censity (CO) at -0.2V (vs.RHE),Partial Current Censity (CO) at -0.3V (vs.RHE),Partial Current Censity (CO) at -0.4V (vs.RHE),Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Censity (CO) at -1.0V (vs.RHE),Partial Current Censity (CO) at -1.1V (vs.RHE),Partial Current Censity (CO) at -1.2V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) 灰=E-Eo,COㄛ-0.11 eVㄛFormateㄛ-0.011",Overpotential (V),Maximum FE,Partial Current Density at Maximum FE (mA/cm2),Long-term durability(hㄘ,Long-term durability=FE decrease%/奀潔ㄗhㄘ,TOF Reported (h-1),Tafel Slope
"Manganese acting as a high-performance
heterogeneous electrocatalyst in carbon
dioxide reduction",10.1038/s41467-019-10854-1,"(Cl, N)-Mn/G",Mn,54.938,25,7.4,1.55,0,5,139,none,graphne,0,0,1,0,0,0,0,0.049,0,4.2,5.1,13.551,82.2,44.1,33.35,22.5,0,,1192,1,900,1,3,CO,kHCO3,0,0.5,0.5,nafion 117,177.8,carbon paper,1,,10,7.2,,,72.00193,93.51356,97.23384,89.49325,78.87245,50.46031,,,,,,1.83365,3.97443,9.12263,12.30543,14.29661,13.57442,,,,-0.6,-0.49,0.49,97.23384,9.12263,,,38347,
"Manganese acting as a high-performance
heterogeneous electrocatalyst in carbon
dioxide reduction",10.1038/s41467-019-10854-1,N-Mn/G,Mn,54.938,25,7.4,1.55,0,5,139,none,graphne,0,0,1,0,0,0,0,0.14,0,3.9,3.9,10.56,85.4,24.51493167,17.60587144,33.41488105,24.46431584,,452,1,900,1,3,CO,kHCO3,0,0.5,0.5,nafion 117,177.8,carbon paper,1,,10,7.2,,,2.30431,8.18099,15.25761,16.45756,14.2115,4.55037,,,,,,0.01624,0.18592,0.43546,1.03,1.219,0.43546,,,,-0.7,-0.59,0.59,16.45756,1.03,,,744,
"Multiscale carbon foam confining single iron atoms for efficient 
electrocatalytic CO2 reduction to CO",10.1007/s12274-019-2316-9,Fe-N4/CF-800,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,1.54,0,,4.4,,,45.55386289,16.88139282,26.10663765,11.45810664,1.05,1059,1,800,2,5,CO,KHCO3,0,0.5,2,nafion 115,127,carbon paper,1,1,5,7.2,,,62.40459,68.92235,66.11389,54.50908,40.54623,26.58338,,,,,,1.421670167,3.313104257,5.375231153,6.443049569,6.25632789,,,,,-0.5,-0.39,0.39,68.92235,3.313104257,,,131.9,113
"Multiscale carbon foam confining single iron atoms for efficient 
electrocatalytic CO2 reduction to CO",10.1007/s12274-019-2316-9,Fe-N4/CF-900,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.86,0,,4.2,,,13.47037559,66.88622021,13.91152503,5.731879174,1.04,1009,1,900,2,5,CO,KHCO3,0,0.5,2,nafion 115,127,carbon paper,1,1,5,7.2,,,79.17591,85.42872,84.97831,81.40149,68.92235,56.44321,,,,,,1.282713083,3.568485777,6.59339909,9.342449007,10.41773726,,,,,-0.5,-0.39,0.39,85.42872,3.568485777,,,240,85
"Multiscale carbon foam confining single iron atoms for efficient 
electrocatalytic CO2 reduction to CO",10.1007/s12274-019-2316-9,Fe-N4/CF-1000,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.2,0,,4.4,,,31.50900846,11.01142123,52.94,4.536967434,1.04,1014,1,1000,2,5,CO,KHCO3,0,0.5,2,nafion 115,127,carbon paper,1,1,5,7.2,,,87.78678,95.23187,93.88062,90.62174,79.04343,67.46512,,,,,,0.889912146,2.697737937,4.587870795,6.890695866,7.57078763,,,,,-0.5,-0.39,0.39,95.23187,2.697737937,60,0.03367,713.4,96
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,Ni-N-CNSs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,3.28,0,,4,,,54.35094773,31.66283745,13.98621482,0,0.98,261,0,900,1,3,CO,KHCO3,0,0.1,0.1,not mentioned,177.8,carbon paper,1,0.5,10,6.8,,,,60.16438,82.47942,92.92586,96.39077,95.97705,93.21029,,,,,,0.22511,0.69867,1.57175,2.63895,3.68757,,,,-0.85,-0.74,0.74,97.1,3.16326,,,,152
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,Ni-N-CNSs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,3.28,0,,4,,,54.35094773,31.66283745,13.98621482,0,0.98,261,0,900,1,3,CO,KHCO3,0,0.5,0.1,not mentioned,177.8,carbon paper,1,0.5,10,7.2,,,,64.06887,78.41979,91.32269,94.37388,91.32269,82.76385,,,,,,0.4602,1.42489,3.87053,7.22348,10.2286,,,,-0.75,-0.64,0.64,95.3,5.547005,25,0.1936,3153.9,152
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,Ni-N-CNSs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,3.28,0,,4,,,54.35094773,31.66283745,13.98621482,0,0.98,261,0,900,1,3,CO,KHCO3,0,1,0.1,not mentioned,177.8,carbon paper,1,0.5,10,8.8,,,,67.68892,71.90369,82.63457,83.20343,80.46254,71.74855,,,,,,0.73098,2.06096,4.55813,8.02846,11.06312,,,,-0.75,-0.64,0.64,84.3,6.293295,,,,152
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,NiNPs-N-CNSs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,36.9,0,,12,,,44.2101021,29.88984417,25.90005373,0,0.83,279,0,900,1,3,CO,KHCO3,0,0.5,0.1,not mentioned,177.8,carbon paper,1,0.5,10,7.2,,,,53.46201,70.69515,87.72119,89.99902,82.51534,70.88533,,,,,,0.30886,1.27966,3.399,5.88631,7.92171,9.04436,,,-0.75,-0.64,0.64,91.6,4.642655,,,271.8,
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,N-CNSs,none,0,0,0,0,0,0,0,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,0,0,,0,,,29.78993536,48.59187442,21.61819021,0,0.98,200,0,900,1,3,CO,KHCO3,0,0.5,0.1,not mentioned,177.8,carbon paper,1,0.5,10,7.2,,,,3.16326,3.60358,3.17898,2.75748,1.68688,0.82821,,,,,,0.33135,0.54619,0.63807,0.46689,0.46689,0.46689,,,-0.6,-0.49,0.49,3.16,0.54619,,,,
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,Fe-N-CNSs,Fe,55.845,26,7.83,1.83,14.57,6,125,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,3.28,0,,4,,,40.0455298,49.57057119,10.38389901,0,0.98,,0,900,1,3,CO,KHCO3,0,0.5,0.1,not mentioned,177.8,carbon paper,1,0.5,10,7.2,,,,41.9463,39.31176,22.8388,11.51463,6.1511,,,,,,,0.24352,0.7603,1.36251,1.8286,2.28801,,,,-0.55,-0.44,0.44,49.08386,0.47399,,,,
Ni and nitrogen-codoped ultrathin carbon nanosheets with strong bonding sites for efficient CO2 electrochemical reduction,10.1016/j.jcis.2020.02.050,Co-N-CNSs,Co,58.93,27,7.81,1.88,63.87,7,126,none,melamine and citric acid  derived carbon nanosheets,0,0,1,0,0,0,1,3.28,0,,4,,,51.68279929,25.3282154,22.98898531,0,0.98,,0,900,1,3,CO,KHCO3,0,0.5,0.1,not mentioned,177.8,carbon paper,1,0.5,10,7.2,,,,12.06255,16.5171,17.30347,15.5099,12.42736,,,,,,,0.4241,0.95695,1.14563,1.17504,1.07816,,,,-0.7,-0.59,0.59,17.30347,1.14563,,,,
"Nickel-Nitrogen-Modified Graphene: An Efficient 
Electrocatalyst for the Reduction of Carbon Dioxide to 
Carbon Monoxide",10.1002/smll.201602158,Ni-N-Gr,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene,0,0,1,0,0,0,0,2.2,0,3.93,4,,93.14,57.3,27.5,12.8,2.5,,,1,900,0.0125,,CO,KHCO3,0,0.1,0.3,not mentioned,177.8,glassy carbon,0,2,10,6.8,,,,20.6337,66.96731,95.11152,90.68403,95.11152,83.23906,59.52235,,,,,0.031367351,0.172313585,0.632054095,1.316868142,2.280726694,2.600846049,2.149959186,,-0.7,-0.59,0.59,95.11152,0.632054095,5,0.46,2700,126
"Nickel-Nitrogen-Modified Graphene: An Efficient 
Electrocatalyst for the Reduction of Carbon Dioxide to 
Carbon Monoxide",10.1002/smll.201602158,Cu-N-Gr,Cu,63.546,29,7.69,1.9,119.16,10,138,none,graphene,0,0,1,0,0,0,0,2.1,0,3.79,4,,93.5,43.4,25.8,25.7,5.1,,,1,900,0.0125,,CO,KHCO3,0,0.1,0.3,not mentioned,177.8,glassy carbon,0,2,10,6.8,,,,0.01,0.01,0.72663,2.83545,4.87732,3.01469,1.23578,,,,,,,0.001494242,0.009520023,0.029241484,0.031433268,0.021380848,,-0.9,-0.79,0.79,4.87732,0.029241484,,,,
"Nickel-Nitrogen-Modified Graphene: An Efficient 
Electrocatalyst for the Reduction of Carbon Dioxide to 
Carbon Monoxide",10.1002/smll.201602158,N-Gr,none,0,0,0,0,0,0,0,none,graphene,0,0,1,0,0,0,0,0,0,2.2,0,,96.5,46.6,31.1,17.5,4.8,,,1,25,24,0,CO,KHCO3,0,0.1,0.3,not mentioned,177.8,glassy carbon,0,2,10,6.8,,,,4.44795,4.96394,5.47993,5.99592,6.51191,5.99592,5.47992,8.21538,,,,,,,,0.017945522,0.027737726,0.048383858,0.119248705,-1.2,-1.09,1.09,8.21538,0.119248705,,,,309
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,Ni(NC)-1,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,8.2,0,38.23361945,2.1,,36.06,74.86590282,25.13409718,0,0,1.08,91.4,0,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,44.31,70.26,96.21,99.9,96.21,,,,,,,,1.26501,6.25218,11.69465,,,,,-0.8,-0.69,0.69,99.9,11.69465,24,0.019291,,199
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,Ni(NC)-2,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,32,0,19.92,2,,51.29,68.16499207,31.83500793,0,0,0.9,144.8,0,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,68.03643,72.54959,77.06275,81.57591,77.06275,,,,,,,,,2.3213,8.24439,,,,,-0.8,-0.69,0.69,81.57591,8.24439,,,,
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,Ni(NC)-3,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,38,0,16.4,0.64,,52.23,74.97385849,25.02614151,0,0,1.02,150.1,0,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,73.83447,73.97305,74.11163,74.25021,74.11163,,,,,,,,,10.23223,16.19172,,,,,-0.8,-0.69,0.69,74.25021,16.19172,,,,
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,Ni(NC)-4,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,28,0,14.5,1.95,,52.87,55.50787935,44.49212065,0,0,,168.9,0,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,40.55948,62.88234,85.2052,92.20474,85.2052,,,,,,,,0.59258,3.00211,6.67945,,,,,-0.8,-0.69,0.69,92.20474,6.67945,,,,347
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,H-Ni(NC)-1,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,2,0,38.23361945,4,,36.06,74.86590282,25.13409718,0,0,,91.4,1,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,89.75162,92.44836,95.1451,97.84184,95.1451,,,,,,,,,5.54234,11.7892,,,,,-0.75,-0.64,0.64,98.72,8.27,,,,
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,H-Ni(NC)-2,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,5.2,0,19.92,4,,51.29,68.16499207,31.83500793,0,0,,144.8,1,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,84.93,85.43,85.93,85.43,84.93,,,,,,,,,2.83174,8.69418,,,,,-0.75,-0.64,0.64,88.19,9.98,,,,
"Nitrogen-Stabilized Low-Valent Ni Motifs for Efficient CO2
Electrocatalysis",10.1021/acscatal.9b02978,H-Ni(NC)-3,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MOFs derived,1,0,0,0,0,0,0,5.7,0,16.4,4,,52.23,74.97385849,25.02614151,0,0,,150.1,1,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,10,7.2,,,,82.23,83.15,84.07,84.99,84.07,,,,,,,,,9.82412,15.81157,,,,,-0.75,-0.64,0.64,86.34,13.55,,,,
Metal Phthalocyanine-Derived Single-Atom Catalysts for Selective CO2 Electroreduction under High Current Densities,10.1021/acsami.0c08940,Ni-SACs (Pc),Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,2.2,0,,4,,,46.13248967,0,42.28434917,11.58316116,,,0,1000,3,5,CO,KHCO3,0,0.5,0.4,not mentioned,177.8,carbon paper,1,2.25,5,7.2,,,,97.6,99.8,96.6,93.4,90.2,,,,,,,0.4,5.02,16.8,,,,,,-0.53,-0.42,0.42,99,0.99,16,0.22,2877.552,114
Metal Phthalocyanine-Derived Single-Atom Catalysts for Selective CO2 Electroreduction under High Current Densities,10.1021/acsami.0c08940,Ni-SACs (Pc),Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,2.2,0,,4,,,46.13248967,0,42.28434917,11.58316116,,,0,1000,3,5,CO,KHCO3,1,1,1,not mentioned,177.8,carbon paper,1,2.25,5,8.8,,,,96.16333,96.12382,96.08431,96.0448,96.00529,,,,,,,25.25,90,,,,,,,-0.45,-0.34,0.34,98,7.62,,,,
Metal Phthalocyanine-Derived Single-Atom Catalysts for Selective CO2 Electroreduction under High Current Densities,10.1021/acsami.0c08940,Fe-SACs (Pc),Fe,55.845,26,7.83,1.83,14.57,6,125,none,ZIF-derived,1,0,0,0,0,0,0,2.1,0,,4,,,44.41299366,0,45.46884126,10.11816507,,,0,1000,3,5,CO,KHCO3,0,0.5,0.4,not mentioned,177.8,carbon paper,1,2.25,5,7.2,,,20.2,28.6,33.8,28.6,23.4,18.2,,,,,,0.71,2.65,6.1,,,,,,,-0.51,-0.4,0.4,29,2.89,,,306.216,115
Metal Phthalocyanine-Derived Single-Atom Catalysts for Selective CO2 Electroreduction under High Current Densities,10.1021/acsami.0c08940,Fe-SACs (Pc),Fe,55.845,26,7.83,1.83,14.57,6,125,none,ZIF-derived,1,0,0,0,0,0,0,2.1,0,,4,,,44.41299366,0,45.46884126,10.11816507,,,0,1000,3,5,CO,KHCO3,1,1,1,not mentioned,177.8,carbon paper,1,2.25,5,8.8,,,,84.53497,76.39274,55.15571,33.91868,12.68165,,,,,,,13,18.77,,,,,,,-0.45,-0.34,0.34,88,7.62,,,,
Metal Phthalocyanine-Derived Single-Atom Catalysts for Selective CO2 Electroreduction under High Current Densities,10.1021/acsami.0c08940,Co-SACs (Pc),Co,58.93,27,7.81,1.88,63.87,7,126,none,ZIF-derived,1,0,0,0,0,0,0,2.2,0,,4,,,56.47655573,0,29.97030805,13.55313621,,,0,1000,3,5,CO,KHCO3,0,0.5,0.4,not mentioned,177.8,carbon paper,1,2.25,5,7.2,,,88.2,90,74.4,58.8,43.2,27.6,,,,,,1.24,6.02,13.1,,,,,,,-0.49,-0.38,0.38,91.5,4.55,,,623.664,149
A general method to construct single-atom catalysts supported on N-doped graphene for energy applications,10.1039/c9ta11715f,Ni-SAC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MMT templated  graphene,0,1,1,0,0,0,0,1.39,0,,4,,,23.29980225,57.26936635,0,19.4308314,1.47,308,1,900,3,,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,10,7.2,,,,90.49876,91.89232,93.28588,95.51556,96.22782,93.44071,91.73748,,,,,,7.112465568,12.87345144,18.54912175,26.55887832,33.76947259,,,-0.9,-0.79,0.79,96.22782,26.55887832,30,0.01,,161.5
A general method to construct single-atom catalysts supported on N-doped graphene for energy applications,10.1039/c9ta11715f,Ni-SAC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MMT templated  graphene,0,1,1,0,0,0,0,1.39,0,,4,,,23.29980225,57.26936635,0,19.4308314,1.47,308,1,900,3,,CO,KHCO3,1,0.5,0.5,nafion 117,177.8,carbon paper,1,4,10,7.2,,,,55.01032,68.00061,80.9909,93.98119,95.35316,93.19813,88.90508,,,,,,,4.061709833,13.25761634,27.94467384,43.28613243,,,-0.9,-0.79,0.79,95.35316,27.94467384,,,,
A general route via formamide condensation to prepare atomically dispersed metal每nitrogen每carbon electrocatalysts for energy technologies,10.1039/c9ee00162j,CNT@f-NiNC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,5,0,,3,,,82.39455539,17.60544461,0,0,,,0,900,2,,CO,KHCO3,0,0.5,1,not mentioned,177.8,carbon paper,1,1,5,7.2,,,61.27633,69.87,79.94803,75.55,70.95887,60.19,48.69645,37.09,24.62629,,,,,3.8,,,,,,,-0.6,-0.49,0.49,84,3.8,10,0.05,,
Atomically dispersed Fe3+ sites catalyze efficient CO2 electroreduction to CO,10.1126/science.aaw7515,Fe3+每N每C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,ZIF-derived,1,0,0,0,0,0,0,2.8,0,6.8,3.4,,,2.702702703,91.89189189,5.405405405,0,1.530968767,772,0,900,3,5,CO,KHCO3,0,0.5,0.3,not mentioned,177.8,carbon paper,1,1,1,7.2,66.54,85.26,91.64,97.81,91.64,85.47,79.3,73.13,,,,,,10,18,55,,,,,,,-0.47,-0.36,0.36,95.9,20.7,12,0.028,1326,71
Atomically dispersed Fe3+ sites catalyze efficient CO2 electroreduction to CO,10.1126/science.aaw7515,Fe2+每N每C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,ZIF-derived,1,0,0,0,0,0,0,2.6,0,7.6,4.3,,,71.42857143,0,12.5,16.07142857,1.242865297,,1,700,2,5,CO,KHCO3,0,0.5,0.6,not mentioned,177.8,carbon paper,1,1,1,7.2,,59.77,72.64,69.39,66.33,58.44,50.55,42.66,,,,,,0.35,0.85,1.5,,,,,,,-0.37,-0.26,0.26,75.6,0.28,,,20,117
Atomically Defined Undercoordinated Active Sites for Highly Efficient CO2 Electroreduction,10.1002/adfm.201907658,Cu每N2/GN,Cu,63.546,29,7.69,1.9,119.16,10,138,none,graphene nanosheets,0,0,1,0,0,0,0,1.45,0,,2.3,,,41.67273316,16.90932622,18.65647497,22.76146566,1.03,168,1,900,2,5,CO,KHCO3,0,0.1,0.5,not mentioned,177.8,carbon paper,1,0.5,1,6.8,,,76.44081,81.29597,61.7397,41.20697,24.76993,8.33289,,,,,,0.474733988,1.707,2.699626168,3.114436585,3.148611273,,,,,-0.5,-0.39,0.39,81.29597,1.707,10,0.68,,245
Atomically Defined Undercoordinated Active Sites for Highly Efficient CO2 Electroreduction,10.1002/adfm.201907658,Cu每N4/GN-700,Cu,63.546,29,7.69,1.9,119.16,10,138,none,graphene nanosheets,0,0,1,0,0,0,0,1.19,0,,4,,,,,,,,,1,700,2,5,CO,KHCO3,0,0.1,0.5,not mentioned,177.8,carbon paper,1,0.5,1,6.8,,,31.53444,34.69913,34.69913,33.80653,32.2918,30.77707,,,,,,0.16768,0.35487,0.611,0.87298,1.32866,,,,,-0.5,-0.39,0.39,34.69913,0.35487,,,,356
Atomically Defined Undercoordinated Active Sites for Highly Efficient CO2 Electroreduction,10.1002/adfm.201907658,Cu每N4/GN-800,Cu,63.546,29,7.69,1.9,119.16,10,138,none,graphene nanosheets,0,0,1,0,0,0,0,1.14,0,,4,,,,,,,,,1,800,2,5,CO,KHCO3,0,0.1,0.5,not mentioned,177.8,carbon paper,1,0.5,1,6.8,,,36.21386,61.856,56.09463,34.4016,22.58133,10.76106,,,,,,0.30707,1.40275,2.60554,2.7838,3.71928,,,,,-0.5,-0.39,0.39,61.856,1.40275,,,,245
Atomic Ni Species Anchored N-Doped Carbon Hollow Spheres as Nanoreactors for Efficient Electrochemical CO2 Reduction,10.1002/cctc.201901643,Ni-N/C-1/4,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,2.53,0,2.75,4,7.88,86.84,21.19,28.43,50.38,0,1.18,480,1,700,1,1,CO,KHCO3,0,0.5,1.3,nafion 115,127,carbon paper,1,2,,7.2,,,,25.79,59.2,73.82,77.16,76.32,72,,,,,,0.1,0.61,1.97,4.36,5.95,6.96,,,-0.78,-0.67,0.67,77.09021,3.99431,4.5,3.7,,114
Atomic Ni Species Anchored N-Doped Carbon Hollow Spheres as Nanoreactors for Efficient Electrochemical CO2 Reduction,10.1002/cctc.201901643,Ni-N/C-3/2,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,2.39,0,2.82,12,9.36,85.43,21.91,21.69,56.4,0,1.18,437,1,700,1,1,CO,KHCO3,0,0.5,1.3,nafion 115,127,carbon paper,1,2,,7.2,,,,7.37629,15.80131,29.93015,44.97055,47.33764,45.25808,,,,,,0.03717,0.12757,0.44452,1.36419,2.83186,,,,-0.78,-0.67,0.67,42.98201,1.03464,,,,138
Achieving highly efficient CO2 to CO electroreduction exceeding 300 mA cm?2 with single-atom nickel electrocatalysts,10.1039/c9ta02405k,Ni-SA-NC-800,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,2.08994,0,19.38522,3.6,3.90378,74.62106,63.54886542,27.25652703,4.940868318,4.253739235,1.07,422.6,1,800,2,10,CO,KHCO3,0,0.5,0.2,nafion 115,127,carbon paper,1,0.25,,7.2,,,27.79788,68.9041,90.98402,96.8,95.98083,95.23344,93.46107,89.98039,85.04764,,,0.92707,1.65313,6.59654,16.29798,31.35993,45.8194,50.03674,51.95231,52.09135,-0.7,-0.59,0.59,96.8,16.29798,9,,,116
Achieving highly efficient CO2 to CO electroreduction exceeding 300 mA cm?2 with single-atom nickel electrocatalysts,10.1039/c9ta02405k,Ni-SA-NC-900,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,1.31087,0,11.93215,3.8,4.21541,82.54157,58.91462145,24.01089983,6.616361688,10.45811703,0.97,582.6,1,900,2,10,CO,KHCO3,0,0.5,0.2,nafion 115,127,carbon paper,1,0.25,,7.2,,,34.93008,78.70554,95.66052,97.81726,98.6,97.68914,96.74957,94.20846,90.3434,,,0.29369,0.83438,4.63462,13.51731,27.74506,42.43625,47.37966,47.47235,47.19428,-0.8,-0.69,0.69,98.6,27.74506,9,0.03,,112
Achieving highly efficient CO2 to CO electroreduction exceeding 300 mA cm?2 with single-atom nickel electrocatalysts,10.1039/c9ta02405k,Ni-SA-NC-1000,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,0.37599,0,6.40078,3.9,3.12471,90.09852,45.22917583,26.82011353,11.3035989,16.64711174,0.94,814.3,1,1000,2,10,CO,KHCO3,0,0.5,0.2,nafion 115,127,carbon paper,1,0.25,,7.2,,,46.33305,89.7882,98.26569,98.82089,99,98.20163,98.20163,97.88132,93.33295,,,0.24735,0.41728,4.07849,12.28146,26.04576,37.8636,45.46409,46.05112,44.9543,-0.8,-0.69,0.69,99,26.04576,9,,,110
A universal ligand mediated method for large scale synthesis of transition metal single atom catalysts,10.1038/s41467-019-12510-0,Ni-SAC-2.5,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon black derived,0,0,0,0,0,1,0,2.5,0,,4,,,50.66666667,28.59259259,20.74074074,0,0.87,,0,600,2,10,CO,KHCO3,0,0.1,0.3,not mentioned,177.8,glassy carbon,0,,10,6.8,,,,45.46105,68.58665,91.71225,96.2089,97.37129,97.86072,97.86072,97.86072,,,,,0.37221975,1.106966858,2.199806878,3.479631208,4.756667087,6.422463726,7.763263158,-1,-0.89,0.89,97.86,4.756667087,20,0.5,,
